ID,Name,Brand,Category,Variant,Video reference,Playground status,Pending reason
rush-hour,Rush Hour,Winda,500g Cakes,500 gram · 100 shots · 3 minutes,https://www.youtube.com/watch?v=lvFlycGGXpc&pp=ygUPcnVzaCBob3VyIHdpbmRh,Not available,Video not inspected in this batch; no effect profile inferred.
neon-diablo-24-pack,Neon Diablo,Black Cat,Artillery Shells,5-inch shells · 24 pack,https://www.youtube.com/watch?v=SCmgR_VrQEA&pp=ygUYbmVvbiBkaWFibG8gMjQgYmFsY2sgY2F0,Not available,Video not inspected in this batch; no effect profile inferred.
the-patriot-24-pack,The Patriot,Black Cat,Artillery Shells,6-inch shells · 24 pack,https://www.youtube.com/watch?v=wZaWki1pnuQ&pp=ygUVdGhlIHBhdHJpb3QgYmxhY2sgY2F0,Not available,Video not inspected in this batch; no effect profile inferred.
avalanche,Avalanche,Winda,200g Cakes,200 gram,https://www.youtube.com/watch?v=rwmnn5bXmIk&pp=ygUPYXZhbGFuY2hlIHdpbmRh,Not available,Video not inspected in this batch; no effect profile inferred.
good-thinkin-lincoln,Good Thinkin’ Lincoln,Winda,500g Cakes,134 shots,https://www.youtube.com/watch?v=zsVhk-XwLq0&pp=ygUaZ29vZCB0aGlua2luIGxpbmNvbG4gd2luZGE%3D,Not available,Video not inspected in this batch; no effect profile inferred.
ipa-4-pack,IPA 4-Pack,Winda,Cake Packs,4-cake pack,https://www.youtube.com/watch?v=V61aoJuZnJM&pp=ygUQaXBhIDQgcGFjayB3aW5kYQ%3D%3D,Not available,Video not inspected in this batch; no effect profile inferred.
make-america-great-again,Make America Great Again,Winda,500g Cakes,500 gram,https://www.youtube.com/watch?v=2lO-5kvcg8E&pp=ygUebWFrZSBhbWVyaWNhIGdyZWF0IGFnYWluIHdpbmRh,Not available,Video not inspected in this batch; no effect profile inferred.
man-cave,Man Cave,Winda,500g Cakes,500 gram,https://www.youtube.com/watch?v=QFNhivmo4EE&pp=ygUObWFuIGNhdmUgd2luZGE%3D,Not available,Video not inspected in this batch; no effect profile inferred.
nation-ovation,Nation Ovation,Winda,200g Cakes,200 gram,https://www.youtube.com/watch?v=EeZPscToUz0&pp=ygUUbmF0aW9uIG92YXRpb24gd2luZGE%3D,Not available,Video not inspected in this batch; no effect profile inferred.
pyro-pilot,Pyro Pilot,Winda,200g Cakes,200 gram,https://www.youtube.com/watch?v=zQST3i4YhlY&pp=ygUQcHlybyBwaWxvdCB3aW5kYQ%3D%3D,Not available,Video not inspected in this batch; no effect profile inferred.
us-66,US 66,Winda,500g Cakes,500 gram,https://www.youtube.com/watch?v=Y5SX7BheKYc&pp=ygULdXMgNjYgd2luZGE%3D,Not available,Video not inspected in this batch; no effect profile inferred.
bad-cactus,Bad Cactus,Winda,Fountains,,https://www.youtube.com/watch?v=AKJYyBBGgbE&pp=ygUQYmFkIGNhY3R1cyB3aW5kYQ%3D%3D,Not available,Video not inspected in this batch; no effect profile inferred.
fun-fuel,Fun Fuel,Winda,200g Cakes,200 gram · 50 shots,https://www.youtube.com/watch?v=ayB9Kc8m-wc,Not available,Video not inspected in this batch; no effect profile inferred.
double-dragon-6-pack,Double Dragon,Winda,Artillery Shells,6-inch shells · 6-piece pack,https://www.youtube.com/watch?v=U6Oqjz9Y254,Not available,Video not inspected in this batch; no effect profile inferred.
snow-cone,Snow Cone,Winda,Fountains,,https://www.youtube.com/watch?v=JTc54W8erGg,Not available,Video not inspected in this batch; no effect profile inferred.
eagle-pride,Eagle Pride,Raccoon,500g Cakes,500 gram · 30 shots,https://www.youtube.com/watch?v=F3JOpCzt4fw,Not available,Video not inspected in this batch; no effect profile inferred.
america-first,America First,Raccoon,500g Cakes,500 gram · 24 shots,https://www.youtube.com/watch?v=AoL13E3J2G8,Not available,Video not inspected in this batch; no effect profile inferred.
us-power,U.S. Power,Raccoon,200g Cakes,200 gram · 16 shots,https://www.youtube.com/watch?v=b0xT23KjsGk,Not available,Video not inspected in this batch; no effect profile inferred.
3-min,3 Min,Monkey Mania,Fountains,,https://www.youtube.com/watch?v=f9FzaW2jNRQ,Not available,Video not inspected in this batch; no effect profile inferred.
blond-joke,Blond Joke,Brothers,500g Cakes,500 gram · 36 shots,https://www.youtube.com/watch?v=fgec75dC5C4,Not available,Video not inspected in this batch; no effect profile inferred.
land-of-the-free,Land of the Free,Monkey Mania,Artillery Shells,36 shells · 54 breaks,https://www.youtube.com/watch?v=2dHuIqzB-30,Not available,Video not inspected in this batch; no effect profile inferred.
2-minute-bomb,2-Minute Bomb,Raccoon,500g Cakes,500 gram · 70 shots,https://www.youtube.com/watch?v=dEeBqT5yOWw,Not available,Video not inspected in this batch; no effect profile inferred.
american-anthem,American Anthem,Raccoon,500g Cakes,9-shot rack,https://www.youtube.com/watch?v=XlKS1F6et98,Not available,Video not inspected in this batch; no effect profile inferred.
ant-chant,Ant Chant,Raccoon,500g Cakes,500 gram · 180 shots,https://www.youtube.com/watch?v=Vi0sYfaM0GA,Not available,Video not inspected in this batch; no effect profile inferred.
born-leaders,Born Leaders,Winda,Cake Packs,3-cake set · 757 shots,https://www.youtube.com/watch?v=U-pB9XiQA2o,Not available,Video not inspected in this batch; no effect profile inferred.
chameleon-shells-24-pack,Chameleon Shells,Winda,Artillery Shells,5-inch shells · 24 pack,https://www.youtube.com/watch?v=3M1DRGY7mYI,Not available,Video not inspected in this batch; no effect profile inferred.
cluster-bomb,Cluster Bomb,Raccoon,500g Cakes,500 gram · 40 shots,https://www.youtube.com/watch?v=ZRbTtKDS3Uw,Not available,Video not inspected in this batch; no effect profile inferred.
colorful-skies,Colorful Skies,Raccoon,200g Cakes,200 gram · 25 shots,https://www.youtube.com/watch?v=7gcAO4M6p8s,Not available,Video not inspected in this batch; no effect profile inferred.
dance-in-the-rain,Dance in the Rain,Raccoon,500g Cakes,500 gram · 23 shots,https://www.youtube.com/watch?v=JMIKiAhQ2m4,Not available,Video not inspected in this batch; no effect profile inferred.
freedoms-wings,Freedom’s Wings,Winda,Fountains,,https://www.youtube.com/watch?v=jpel_6q7KyI,Not available,Video not inspected in this batch; no effect profile inferred.
g-force-24-pack,G-Force,Winda,Artillery Shells,4-inch shells · 24 pack,https://www.youtube.com/watch?v=7pGhF7fvvN0,Not available,Video not inspected in this batch; no effect profile inferred.
galactic-empire,Galactic Empire,Raccoon,500g Cakes,500 gram · 21 shots,https://www.youtube.com/watch?v=0OkveYwscvs,Not available,Video not inspected in this batch; no effect profile inferred.
ghost-dragon,Ghost Dragon,Raccoon,500g Cakes,9-shot rack,https://www.youtube.com/watch?v=6zFLJt1m7q8,Reviewed excerpt,Denser review needed: 8 bursts resolved vs 9 advertised.
ghost-killer,Ghost Killer,Raccoon,500g Cakes,9-shot rack,https://www.youtube.com/watch?v=oqXARGKUAXk,Not available,Video not inspected in this batch; no effect profile inferred.
ghost-rings,Ghost Rings,Winda,500g Cakes,9-shot rack,https://www.youtube.com/watch?v=bmPKTKRDG4c,Not available,Video not inspected in this batch; no effect profile inferred.
grand-cannon,Grand Cannon,Winda,Fountains,,https://www.youtube.com/watch?v=dnOONzRAaTU,Not available,Video not inspected in this batch; no effect profile inferred.
jawbreaker,Jawbreaker,Raccoon,200g Cakes,200 gram · 25 shots,https://www.youtube.com/watch?v=Vm9Ug3rc84A,Not available,Video not inspected in this batch; no effect profile inferred.
king-dragon-24-pack,King Dragon,Raccoon,Artillery Shells,6-inch shells · 24 pack,https://www.youtube.com/watch?v=IKgzCr-3u10,Not available,Video not inspected in this batch; no effect profile inferred.
lucky-streak,Lucky Streak,Bright Star,200g Cakes,66 shots,https://www.youtube.com/watch?v=Yf7BARQKKck,Not available,Video not inspected in this batch; no effect profile inferred.
magnum-tremors,Magnum Tremors,Raccoon,500g Cakes,9-shot rack,https://www.youtube.com/watch?v=VihP3cMcJi4,Not available,Video not inspected in this batch; no effect profile inferred.
migraine,Migraine,Raccoon,500g Cakes,9-shot rack,https://www.youtube.com/watch?v=ElEOhs6JI0U,Not available,Video not inspected in this batch; no effect profile inferred.
monkey-business,Monkey Business,Raccoon,200g Cakes,200 gram · 24 shots,https://www.youtube.com/watch?v=2WLNk8n4KPg,Not available,Video not inspected in this batch; no effect profile inferred.
neon-boom,Neon Boom,Raccoon,500g Cakes,500 gram · 25 shots,https://www.youtube.com/watch?v=CR1TTvKxTCo,Not available,Video not inspected in this batch; no effect profile inferred.
occupy-mars,Occupy Mars,Winda,500g Cakes,10 shots · girandola finale,https://www.youtube.com/watch?v=R1BXlnwc260,Not available,Video not inspected in this batch; no effect profile inferred.
party-like-its-1776,Party Like It’s 1776,Winda,500g Cakes,156 shots,https://www.youtube.com/watch?v=Md5UiOmVtG4,Not available,Video not inspected in this batch; no effect profile inferred.
peacock-spider-24-pack,Peacock Spider,Raccoon,Artillery Shells,5-inch shells · 24 pack,https://www.youtube.com/watch?v=b2bpAABo2NI,Not available,Video not inspected in this batch; no effect profile inferred.
battle-of-princeton,Battle of Princeton,Raccoon,500g Cakes,500 gram · 36 shots,https://www.youtube.com/watch?v=X5CKkC6qPxI,Not available,Video not inspected in this batch; no effect profile inferred.
raging-willow,Raging Willow,Raccoon,200g Cakes,200 gram · 19 shots,https://www.youtube.com/watch?v=PnXkPdmX0NE,Not available,Video not inspected in this batch; no effect profile inferred.
rainbow-ghost,Rainbow Ghost,Raccoon,500g Cakes,500 gram · 195 shots,https://www.youtube.com/watch?v=Fg-sEyV_LzA,Not available,Video not inspected in this batch; no effect profile inferred.
revolution-now,Revolution Now,Raccoon,500g Cakes,500 gram · 30 shots,https://www.youtube.com/watch?v=DBZVSoZg_-k,Not available,Video not inspected in this batch; no effect profile inferred.
road-rage-bright-star,Road Rage,Bright Star,500g Cakes,500 gram cake,https://www.youtube.com/watch?v=4wmvzEOnf2s,Not available,Video not inspected in this batch; no effect profile inferred.
strato-launcher,Strato Launcher,Monkey Mania,200g Cakes,200 gram · 100 shots,https://www.youtube.com/watch?v=dCPxXYGNVQg,Not available,Video not inspected in this batch; no effect profile inferred.
strobing-willow,Strobing Willow,Raccoon,200g Cakes,200 gram · 25 shots,https://www.youtube.com/watch?v=prG4cr0TASo,Not available,Video not inspected in this batch; no effect profile inferred.
whisky-business,Whisky Business,Bright Star,500g Cakes,20 shots,https://www.youtube.com/watch?v=SxzplhvlmUk,Not available,Video not inspected in this batch; no effect profile inferred.
wild-horses,Wild Horses,Raccoon,200g Cakes,200 gram · 25 shots,https://www.youtube.com/watch?v=w5QUlnKoDnA,Not available,Video not inspected in this batch; no effect profile inferred.
willow-explosion,Willow Explosion,Raccoon,500g Cakes,500 gram · 24 shots,https://www.youtube.com/watch?v=AtqiNrQGq-0,Not available,Video not inspected in this batch; no effect profile inferred.
neon-jellyfish,Neon Jellyfish,Raccoon,500g Cakes,9-shot rack,https://www.youtube.com/watch?v=UG_3QDM9310,Not available,Video not inspected in this batch; no effect profile inferred.
raise-the-dead-24-pack,Raise the Dead,Winda,Artillery Shells,7-inch shells · 24 pack,https://www.youtube.com/watch?v=LwxUtHYn5zc,Not available,Video not inspected in this batch; no effect profile inferred.
wings-of-wrath,Wings of Wrath,Raccoon,200g Cakes,200 gram · 35 shots,https://www.youtube.com/watch?v=7L0NtDmfqCI,Not available,Video not inspected in this batch; no effect profile inferred.
no-3-cone-fountain-2-pack,No. 3 Cone Fountain,Monkey Mania,Fountains,2-cone pack,,Not available,No approved video in the current catalog; reference needed.
atom-bomb,Atom Bomb,Brothers,500g Cakes,36 shots,https://www.youtube.com/watch?v=qhaZ6rztaWg,Not available,Video not inspected in this batch; no effect profile inferred.
bamboozle,Bamboozle,Brothers,500g Cakes,42 shots,https://www.youtube.com/watch?v=K18Wj4yngNs,Not available,Mixed 42-shot sequence needs additional effect modeling and dense inspection; prior investigation retained.
big-top,Big Top,Brothers,500g Cakes,42 shots,https://www.youtube.com/watch?v=LA32zI0iw5M,Not available,Video not inspected in this batch; no effect profile inferred.
blood-money,Blood Money,Brothers,500g Cakes,49 shots,https://www.youtube.com/watch?v=CG05DMsgT1s,Not available,Video not inspected in this batch; no effect profile inferred.
canopus,Canopus,Brothers,500g Cakes,48 shots,https://www.youtube.com/watch?v=9aRHa155mRQ,Not available,Video not inspected in this batch; no effect profile inferred.
capella,Capella,Brothers,500g Cakes,48 shots,https://www.youtube.com/watch?v=fBjBlqBQF-I,Not available,Video not inspected in this batch; no effect profile inferred.
captain-sam,Captain Sam,Brothers,200g Cakes,30 shots · Daytime parachutes,https://www.youtube.com/watch?v=uuczVlBEGB4,Not available,Video not inspected in this batch; no effect profile inferred.
centauri,Centauri,Brothers,500g Cakes,48 shots,https://www.youtube.com/watch?v=ijMD-z7JBns,Not available,Video not inspected in this batch; no effect profile inferred.
cobalt-bomb,Cobalt Bomb,Brothers,500g Cakes,36 shots,https://www.youtube.com/watch?v=R3bPGBd6Tag,Not available,Video not inspected in this batch; no effect profile inferred.
crime-scene,Crime Scene,Brothers,500g Cakes,49 shots,https://www.youtube.com/watch?v=XLFL_7QO1bA,Not available,Video not inspected in this batch; no effect profile inferred.
daffodil,Daffodil,Brothers,200g Cakes,200 gram · 16 shots,https://www.youtube.com/watch?v=_8IthnKIchA,Reviewed excerpt,Resolve the unseparated shot: 15 bursts resolved vs 16 advertised.
fairies-in-a-jar,Fairies in a Jar,Brothers,Fountains,,https://www.youtube.com/watch?v=0XffbmTG7DA,Reviewed excerpt,Find a complete recording; current video ends during activity.
full-speed-24-pack,Full Speed Fireworks,Brothers,Reloadables,7-inch shells · 24 shells,https://www.youtube.com/watch?v=CLfZr6AahYg,Not available,Video not inspected in this batch; no effect profile inferred.
golden-peacock,Golden Peacock,Brothers,200g Cakes,200 gram · 16 shots,https://www.youtube.com/watch?v=0ZGF8eiJvcc,Not available,Video not inspected in this batch; no effect profile inferred.
hydrogen-bomb,Hydrogen Bomb,Brothers,500g Cakes,36 shots,https://www.youtube.com/watch?v=1h7h6Kq3kBs,Not available,Video not inspected in this batch; no effect profile inferred.
inside-job,Inside Job,Brothers,500g Cakes,49 shots,https://www.youtube.com/watch?v=ZeYCnVqun4g,Not available,Video not inspected in this batch; no effect profile inferred.
jaws-brothers,Jaws,Brothers,200g Cakes,16 shots,https://www.youtube.com/watch?v=OgutQQqqgfY,Not available,Video not inspected in this batch; no effect profile inferred.
jumboshell-fountain,Jumboshell Fountain,Brothers,Fountains,,https://www.youtube.com/watch?v=hOgReJdyXEs,Not available,Video not inspected in this batch; no effect profile inferred.
mechanical-bug,Mechanical Bug,Brothers,200g Cakes,100 shots,https://www.youtube.com/watch?v=m30pnWTCVKg,Not available,Video not inspected in this batch; no effect profile inferred.
megawatt,MegaWatt,Brothers,500g Cakes,295 shots,https://www.youtube.com/watch?v=En2v2rgq0xo,Not available,Video not inspected in this batch; no effect profile inferred.
midnight,Midnight,Brothers,500g Cakes,204 shots,https://www.youtube.com/watch?v=RpqCohMZK3k,Not available,Video not inspected in this batch; no effect profile inferred.
movie-time,Movie Time,Brothers,Fountains,,https://www.youtube.com/watch?v=JNSp9V7rLGo,Not available,Video not inspected in this batch; no effect profile inferred.
neutron-bomb,Neutron Bomb,Brothers,500g Cakes,36 shots,https://www.youtube.com/watch?v=9c-pT9O7n1o,Not available,Video not inspected in this batch; no effect profile inferred.
old-ironsides,Old Ironsides,Brothers,Cakes - Size Unconfirmed,30 shots,https://www.youtube.com/watch?v=3d8P_pGNLc4,Not available,Video not inspected in this batch; no effect profile inferred.
quest-24-pack,Quest,Brothers,Reloadables,4-inch shells · 24 shells,https://www.youtube.com/watch?v=I5sJSs1knvA,Not available,Video not inspected in this batch; no effect profile inferred.
ruckus-12-pack,Ruckus,Brothers,Reloadables,12 ball shells,https://www.youtube.com/watch?v=ELEFbRe_f-I,Not available,Video not inspected in this batch; no effect profile inferred.
serious-equipment,Serious Equipment,Brothers,Reloadables,48 shells · 82 breaks,https://www.youtube.com/watch?v=xeLx9jBmFTc,Not available,Video not inspected in this batch; no effect profile inferred.
smash-hit,Smash Hit,Brothers,Fountains,,https://www.youtube.com/watch?v=KFtrrmeIb-s,Not available,Video not inspected in this batch; no effect profile inferred.
sons-of-liberty,Sons of Liberty,Brothers,500g Cakes,500 gram · 36 shots,https://www.youtube.com/watch?v=UvEESO3wl_8,Not available,Video not inspected in this batch; no effect profile inferred.
the-red-white-and-blue-salute,"The Red, White and Blue Salute",Brothers,200g Cakes,24 shots,https://www.youtube.com/watch?v=c0yqJUHTdkQ,Not available,Video not inspected in this batch; no effect profile inferred.
turf-war,Turf War,Brothers,500g Cakes,49 shots,https://www.youtube.com/watch?v=Qrs8rEAhXRE,Not available,Video not inspected in this batch; no effect profile inferred.
vega,Vega,Brothers,500g Cakes,48 shots,https://www.youtube.com/watch?v=H3oBKOX2QnM,Not available,Video not inspected in this batch; no effect profile inferred.
wild-west,Wild West,Brothers,200g Cakes,25 shots,https://www.youtube.com/watch?v=RbwodLEP4lw,Not available,Video not inspected in this batch; no effect profile inferred.
wildcard,Wildcard,Brothers,200g Cakes,200 gram · 49 shots,https://www.youtube.com/watch?v=R9QML3hq5kM,Not available,Video not inspected in this batch; no effect profile inferred.
flying-colors,Flying Colors,Brothers,200g Cakes,41 shots,https://www.youtube.com/watch?v=wzrbWj7K7SI,Not available,Video not inspected in this batch; no effect profile inferred.
super-fountain,Super Fountain,Brothers,Fountains,,https://www.youtube.com/watch?v=T8JH5_0zwBc,Not available,Video not inspected in this batch; no effect profile inferred.
solar-flare-no-3,Solar Flare #3,Black Cat,Fountains,,,Not available,No approved video in the current catalog; reference needed.
turbo-flash-no-4,Turbo Flash #4,Black Cat,Fountains,,https://www.youtube.com/watch?v=Cb8NLYc9sJk,Not available,Video not inspected in this batch; no effect profile inferred.
pharaohs-treasure-no-8,Pharaoh's Treasure #8,Black Cat,Fountains,,https://www.youtube.com/watch?v=lNKvREZBzVY,Not available,Video not inspected in this batch; no effect profile inferred.
snow-cone-jr-4-pack,Snow Cone Jr.,Winda,Fountains,4 fountains,https://www.youtube.com/watch?v=jyaanXTnHI4,Not available,Video not inspected in this batch; no effect profile inferred.
absolute-pyro,Absolute Pyro,,500g Cakes,156 shots,https://www.youtube.com/watch?v=W130ZNmvexE,Not available,Video not inspected in this batch; no effect profile inferred.
black-cat-four-assorted-9-inch,Four Assorted 9-inch Fountains,Black Cat,Fountains,9-inch fountains · 4-pack,https://www.youtube.com/watch?v=G3KOjofzkho,Not available,Video not inspected in this batch; no effect profile inferred.
black-cat-four-assorted-6-inch,Four Assorted 6-inch Fountains,Black Cat,Fountains,6-inch fountains · 4-pack,,Not available,No approved video in the current catalog; reference needed.
fountastic,Fountastic,Black Cat,Fountains,,https://www.youtube.com/watch?v=16xNuW-U4t4,Not available,Video not inspected in this batch; no effect profile inferred.
black-cat-four-assorted-7-inch,Four Assorted 7-inch Fountains,Black Cat,Fountains,7-inch fountains · 4-pack,https://www.youtube.com/watch?v=00HJLCdoTjo,Not available,Video not inspected in this batch; no effect profile inferred.
3-for-1-fountains,3 For 1!,Black Cat,Fountains,3 fountains,,Not available,No approved video in the current catalog; reference needed.
fallout,Fallout,Fox,500g Cakes,500 gram · 24 shots,https://www.youtube.com/watch?v=cieneeS7rKc,Not available,Video not inspected in this batch; no effect profile inferred.
joker-black-cat-fountain,Joker,Black Cat,Fountains,,https://www.youtube.com/watch?v=BNn1R400mFE,Not available,Video not inspected in this batch; no effect profile inferred.
light-brigade,Light Brigade,Brothers,Cakes - Size Unconfirmed,42 shots,https://www.youtube.com/watch?v=eKDVVEhl6ss,Not available,Video not inspected in this batch; no effect profile inferred.
magical-barrage-100,Magical Barrage,Black Cat,200g Cakes,100 shots,https://www.youtube.com/watch?v=eQWyLLmgfKY,Not available,Video not inspected in this batch; no effect profile inferred.
outlaw-justice,Outlaw Justice,Fox,500g Cakes,500 gram · 36 shots,https://www.youtube.com/watch?v=BQxeA7o5Y6g,Not available,Video not inspected in this batch; no effect profile inferred.
packin-purple,Packin' Purple,Black Cat,Fountains,,,Not available,No approved video in the current catalog; reference needed.
princess-power-sword,Princess Power Sword,,Fountains,Pink sword fountain,,Not available,No approved video in the current catalog; reference needed.
victory-sword,Victory Sword,,Fountains,,,Not available,No approved video in the current catalog; reference needed.
whacky-tobacky,Whacky Tobacky,Brothers,500g Cakes,9-shot rack,https://www.youtube.com/watch?v=kfKXaQZ-2rk,Not available,Video not inspected in this batch; no effect profile inferred.
walkin-dead,Walkin' Dead,Black Cat,200g Cakes,200 gram · 19 shots,https://www.youtube.com/watch?v=egB6g9q3aXk,Not available,Video not inspected in this batch; no effect profile inferred.
war-hero,War Hero,Brothers,500g Cakes,500 gram · 30 shots,https://www.youtube.com/watch?v=x1vaORd54Eo,Not available,Video not inspected in this batch; no effect profile inferred.
call-the-cops,Call the Cops,Black Cat,200g Cakes,200 gram · 87 shots,https://www.youtube.com/watch?v=MFaJo3F_8R4,Not available,Video not inspected in this batch; no effect profile inferred.
festival-fountain,Festival Fountain,Black Cat,Fountains,,https://www.youtube.com/watch?v=F1hj6kN7Iwk,Not available,Video not inspected in this batch; no effect profile inferred.
forever-loyal,Forever Loyal,Pyro Shine,500g Cakes,500 gram · 25 shots,https://www.youtube.com/watch?v=meX3dU3eNm4,Not available,Video not inspected in this batch; no effect profile inferred.
fuego-loco,Fuego Loco,Black Cat,200g Cakes,200 gram · 20 shots,https://www.youtube.com/watch?v=ua-qvzDNDPg,Not available,Video not inspected in this batch; no effect profile inferred.
holiday-lights,Holiday Lights,Black Cat,Fountains,,https://www.youtube.com/watch?v=ox2F3dfBPls,Not available,Video not inspected in this batch; no effect profile inferred.
mass-confusion,Mass Confusion,Black Cat,Cakes - Size Unconfirmed,45 shots,https://www.youtube.com/watch?v=S1dUXLCc8fw,Not available,Video not inspected in this batch; no effect profile inferred.
sky-ink,Sky Ink,Black Cat,200g Cakes,200 gram · 16 shots,https://www.youtube.com/watch?v=mFICypgeVm8,Not available,Video not inspected in this batch; no effect profile inferred.
sugar-pop,Sugar Pop,Fox,Fountains,,https://www.youtube.com/watch?v=qVUDKdf7R5g,Not available,Video not inspected in this batch; no effect profile inferred.
worlds-largest-fountain,World's Largest Fountain,Black Cat,Fountains,,https://www.youtube.com/watch?v=s55FMICmXdo,Not available,Video not inspected in this batch; no effect profile inferred.
aggression,Aggression,Raccoon,200g Cakes,200 gram · 25 shots,https://www.youtube.com/watch?v=fLGTxYPM494,Not available,Video not inspected in this batch; no effect profile inferred.
arms-depot-16-pack,Arms Depot,Raccoon,Reloadables,4-inch shells · 16 shells,https://www.youtube.com/watch?v=Lo4tueGSQgs,Not available,Video not inspected in this batch; no effect profile inferred.
bang-bros,Bang Bros,Raccoon,500g Cakes,500 gram · 44 shots,https://www.youtube.com/watch?v=ifr85jVKpT8,Not available,Video not inspected in this batch; no effect profile inferred.
battle-cry,Battle Cry,Raccoon,500g Cakes,9-shot rack,https://www.youtube.com/watch?v=TKlNeHeOap4,Not available,Video not inspected in this batch; no effect profile inferred.
break-the-rules-6-pack,Break the Rules,Raccoon,Reloadables,6-inch shells · 6 shells,https://www.youtube.com/watch?v=QiCjafNQrhI,Not available,Video not inspected in this batch; no effect profile inferred.
color-rage,Color Rage,Raccoon,500g Cakes,500 gram · 30 shots,https://www.youtube.com/watch?v=NvDuDojoKT4,Not available,Video not inspected in this batch; no effect profile inferred.
flawless-24-pack,Flawless,Raccoon,Reloadables,5-inch shells · 24 shells,https://www.youtube.com/watch?v=YEuMKW3NufM,Not available,Video not inspected in this batch; no effect profile inferred.
home-of-the-brave,Home of the Brave,Monkey Mania,Reloadables,48 shells · 72 breaks,https://www.youtube.com/watch?v=CW7K1Ln8Dnw,Not available,Video not inspected in this batch; no effect profile inferred.
hot-as-hell,Hot as Hell,Raccoon,500g Cakes,9-shot rack,https://www.youtube.com/watch?v=yFp0xaHG-qY,Not available,Video not inspected in this batch; no effect profile inferred.
