"id","name","brand","category","presentation","manufacturer_code","square_rows","square_tokens","square_original_names","identity_code","sources","evidence","reference_image","reference_sha256","source_image_url","image_review","video","video_review","batch"
"dance-in-the-rain","Dance in the Rain","Raccoon","Cakes","500 gram · 23 shots","RA530146","311","TPBOMNN4CK7ETI3SUSVUTQZ7","Dance In The Rain 500 Gram","757205301462","https://www.raccoonfireworksusa.com/product-page/dance-in-the-rain | https://gbfireworks.com/products/dance-in-the-rain","Square row 311, token TPBOMNN4CK7ETI3SUSVUTQZ7, code 757205301462, name 'Dance In The Rain 500 Gram'; manufacturer model RA530146 and exact retail presentation reviewed against the official page and authentic package photograph. No name-only or store-SKU-only approval.","docs/catalog/enrichment-2026-09/references/dance-in-the-rain-original.png","10f246cf32c58ecbc97c1cdfc492daa2a375ec6ce7ddf23ea2b50ad25b32ee48","https://raccoonfireworksusa.com/wp-content/uploads/2026/08/RA530146.png","Official photograph inspected at original resolution/contact sheet. Correct name, brand, retail count and package; real alpha. Only resizing and encoding, no generated packaging.","https://www.youtube.com/watch?v=JMIKiAhQ2m4","{'status': 'verified', 'source': 'https://www.raccoonfireworksusa.com/product-page/dance-in-the-rain', 'title': 'Dance in the Rain RA530146 by Raccoon Fireworks', 'channel': 'Raccoon Fireworks', 'evidence': 'Exact model and product name in the official Raccoon channel title; demonstration embedded by the manufacturer. Retail presentation verified separately.'}","2026-09-24-official-1"
"flying-pig-rockets","Flying Pig Rocket","Monkey Mania","Rockets","5-stick pack","MM-8201","374","6HTTDB3PZXERBXUHKFQRZ4JS","Flying Pig Rocket (5 sticks)","757202282016","https://www.raccoonfireworksusa.com/product-page/flying-pig-rocket | https://americanwholesalefireworks.com/flying-pig-rocket/","Square row 374, token 6HTTDB3PZXERBXUHKFQRZ4JS, code 757202282016, name 'Flying Pig Rocket (5 sticks)'; manufacturer model MM-8201 and exact retail presentation reviewed against the official page and authentic package photograph. No name-only or store-SKU-only approval.","docs/catalog/enrichment-2026-09/references/flying-pig-rockets-original.png","edb18cac06f39fdae14ea4de9bcdb6b05d1c4254eac813b8dd781a3919332702","https://raccoonfireworksusa.com/wp-content/uploads/2026/08/MM-8201.png","Official photograph inspected at original resolution/contact sheet. Correct name, brand, retail count and package; real alpha. Only resizing and encoding, no generated packaging.","https://www.youtube.com/watch?v=IaTy9tbOmtg","{'status': 'verified', 'source': 'https://www.raccoonfireworksusa.com/product-page/flying-pig-rocket', 'title': '2023 Monkey Mania MM 8201 Flying Pig', 'channel': 'Raccoon Fireworks', 'evidence': 'Exact model and product name in the official Raccoon channel title; demonstration embedded by the manufacturer. Retail presentation verified separately.'}","2026-09-24-official-1"
"freedoms-wings","Freedom’s Wings","Winda","Fountains","Fountain","P6036","385","2CYKZ3ADBOY7HQ3VRW2OTG76","Freedom Wings BOGO Fountain","705108603602","https://www.getwinda.com/product-page/freedom-s-wings","Square row 385, token 2CYKZ3ADBOY7HQ3VRW2OTG76, code 705108603602, name 'Freedom Wings BOGO Fountain'; manufacturer model P6036 and exact retail presentation reviewed against the official page and authentic package photograph. No name-only or store-SKU-only approval.","docs/catalog/enrichment-2026-09/references/freedoms-wings-original.png","920de33565cdfd677ba251175a4817e9aa08e974a1107daf3882eb28f06ad2b2","https://static.wixstatic.com/media/ecdf0c_ab5a259a36d643838a08bdeb7736dad7~mv2.png/v1/fit/w_500,h_500,q_90/file.png","Official photograph inspected at original resolution/contact sheet. Correct name, brand, retail count and package; real alpha. Only resizing and encoding, no generated packaging.","","Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.","2026-09-24-official-1"
"g-force-24-pack","G-Force","Winda","Artillery Shells","4-inch shells · 24 pack","P8031","397","N6OTOY4DNT3WRUBLSUR5YSC7","G Force 4"" Artillery Shells 24 Pack","705108803101","https://www.getwinda.com/product-page/g-force | https://americanwholesalefireworks.com/g-force/ | https://www.youtube.com/watch?v=7pGhF7fvvN0","Square row 397, token N6OTOY4DNT3WRUBLSUR5YSC7, code 705108803101, name 'G Force 4"" Artillery Shells 24 Pack'; manufacturer model P8031 and exact retail presentation reviewed against the official page and authentic package photograph. No name-only or store-SKU-only approval.","docs/catalog/enrichment-2026-09/references/g-force-24-pack-original.png","538dd629bc34241e74fe6c9442afc037c33c71dcf75a2429003a037239d74c28","https://static.wixstatic.com/media/ecdf0c_e40ec0a2cb974dfe82328f928d64fd2b~mv2.png/v1/fit/w_500,h_500,q_90/file.png","Official photograph inspected at original resolution/contact sheet. Correct name, brand, retail count and package; real alpha. Only resizing and encoding, no generated packaging.","https://www.youtube.com/watch?v=7pGhF7fvvN0","Reviewed exact product/model and presentation against the approved source page, indexed demo information and YouTube oEmbed metadata. Not a general search link or different package. Full playback of every video was not performed.","2026-09-24-official-1"
"galactic-empire","Galactic Empire","Raccoon","Cakes","500 gram · 21 shots","RA530126","398","R4GQVTO4EUT5C4LHMA44BP2K","Galactic Empire","757205301264","https://www.raccoonfireworksusa.com/product-page/galactic-empire","Square row 398, token R4GQVTO4EUT5C4LHMA44BP2K, code 757205301264, name 'Galactic Empire'; manufacturer model RA530126 and exact retail presentation reviewed against the official page and authentic package photograph. No name-only or store-SKU-only approval.","docs/catalog/enrichment-2026-09/references/galactic-empire-original.png","17f1ec207127783a0a99a65b59d29ecc12ca591dfc267ca1d3350d34664485e5","https://raccoonfireworksusa.com/wp-content/uploads/2026/08/RA530126.png","Official photograph inspected at original resolution/contact sheet. Correct name, brand, retail count and package; real alpha. Only resizing and encoding, no generated packaging.","https://www.youtube.com/watch?v=0OkveYwscvs","{'status': 'verified', 'source': 'https://www.raccoonfireworksusa.com/product-page/galactic-empire', 'title': 'Galactic Empire RA530126 by Raccoon Fireworks', 'channel': 'Raccoon Fireworks', 'evidence': 'Exact model and product name in the official Raccoon channel title; demonstration embedded by the manufacturer. Retail presentation verified separately.'}","2026-09-24-official-1"
"ghost-dragon","Ghost Dragon","Raccoon","Cakes","9-shot rack","RA57219","410","CX3WJWBLRRX53W7VQZFUUZ5C","Ghost Dragon","757201572194","https://www.raccoonfireworksusa.com/product-page/ghost-dragon | https://dosgringosfireworks.com/ghost-dragon/ | https://americanwholesalefireworks.com/ghost-dragon/ | https://americanwholesalefireworks.com/ghost-dragon//","Square row 410, token CX3WJWBLRRX53W7VQZFUUZ5C, code 757201572194, name 'Ghost Dragon'; manufacturer model RA57219 and exact retail presentation reviewed against the official page and authentic package photograph. No name-only or store-SKU-only approval.","docs/catalog/enrichment-2026-09/references/ghost-dragon-original.png","1efb53166f5ea51598020c51b3a00bd0f7d99feed90e63d19f84afcf1297c610","https://raccoonfireworksusa.com/wp-content/uploads/2026/08/RA57219.png","Official photograph inspected at original resolution/contact sheet. Correct name, brand, retail count and package; real alpha. Only resizing and encoding, no generated packaging.","https://www.youtube.com/watch?v=6zFLJt1m7q8","{'status': 'verified', 'source': 'https://www.raccoonfireworksusa.com/product-page/ghost-dragon', 'title': 'Ghost Dragon by  RA57219 Raccoon Fireworks', 'channel': 'Raccoon Fireworks', 'evidence': 'Exact model and product name in the official Raccoon channel title; demonstration embedded by the manufacturer. Retail presentation verified separately.'}","2026-09-24-official-1"
"ghost-killer","Ghost Killer","Raccoon","Cakes","9-shot rack","RA57217","411","Q5DCX2MGZHMYFX7ADSL5C6FU","Ghost Killer","757201572170","https://www.raccoonfireworksusa.com/product-page/ghost-killer | https://americanwholesalefireworks.com/ghost-killer-raccoon/","Square row 411, token Q5DCX2MGZHMYFX7ADSL5C6FU, code 757201572170, name 'Ghost Killer'; manufacturer model RA57217 and exact retail presentation reviewed against the official page and authentic package photograph. No name-only or store-SKU-only approval.","docs/catalog/enrichment-2026-09/references/ghost-killer-original.png","531e69ff945bf75f83770126497ea1a3afe8e4bfebd21481ab31651cbac664ce","https://raccoonfireworksusa.com/wp-content/uploads/2026/08/RA57217.png","Official photograph inspected at original resolution/contact sheet. Correct name, brand, retail count and package; real alpha. Only resizing and encoding, no generated packaging.","https://www.youtube.com/watch?v=oqXARGKUAXk","{'status': 'verified', 'source': 'https://www.raccoonfireworksusa.com/product-page/ghost-killer', 'title': 'Ghost Killer RA57217 by Raccoon Fireworks', 'channel': 'Raccoon Fireworks', 'evidence': 'Exact model and product name in the official Raccoon channel title; demonstration embedded by the manufacturer. Retail presentation verified separately.'}","2026-09-24-official-1"
"ghost-rings","Ghost Rings","Winda","Cakes","9-shot rack","P5498","412","DK52TXNEXPJ5HDJE6462D23I","Ghost Rings","705108549801","https://www.getwinda.com/product-page/ghost-rings-9-s","Square row 412, token DK52TXNEXPJ5HDJE6462D23I, code 705108549801, name 'Ghost Rings'; manufacturer model P5498 and exact retail presentation reviewed against the official page and authentic package photograph. No name-only or store-SKU-only approval.","docs/catalog/enrichment-2026-09/references/ghost-rings-original.png","53de2ac8bd44ffe0eeba901d471772e83a11ff6c72af76bee14f2a0a9c843b8b","https://static.wixstatic.com/media/ecdf0c_5f264a2b06804428a5a67777575bc8c8~mv2.png/v1/fit/w_500,h_500,q_90/file.png","Official photograph inspected at original resolution/contact sheet. Correct name, brand, retail count and package; real alpha. Only resizing and encoding, no generated packaging.","","Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.","2026-09-24-official-1"
"grand-cannon","Grand Cannon","Winda","Fountains","Fountain","P3215","426","FUX46WMJ6KKMB42MBGW2QFQB","Grand Cannon Fountain","705108321506","https://www.getwinda.com/product-page/grand-cannon","Square row 426, token FUX46WMJ6KKMB42MBGW2QFQB, code 705108321506, name 'Grand Cannon Fountain'; manufacturer model P3215 and exact retail presentation reviewed against the official page and authentic package photograph. No name-only or store-SKU-only approval.","docs/catalog/enrichment-2026-09/references/grand-cannon-original.png","0583ccc87200c9b36397d073905aaf263fef8b90714f4754b7754510740e4953","https://static.wixstatic.com/media/ecdf0c_a6303df2aa904de197008162b5307f23~mv2.png/v1/fit/w_500,h_500,q_90/file.png","Official photograph inspected at original resolution/contact sheet. Correct name, brand, retail count and package; real alpha. Only resizing and encoding, no generated packaging.","","Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.","2026-09-24-official-1"
"howling-commandos","Howling Commandos","Winda","Rockets","6-stick pack","P2030","465","XSHQZDOB32OQODB4SVTRD6EY","Howling Commandos (6 sticks)","705108203000","https://www.getwinda.com/product-page/howling-commandos | https://americanwholesalefireworks.com/howling-commandos/ | https://americanwholesalefireworks.com/howling-commandos-rocket/ | https://www.youtube.com/watch?v=MiXprVX1qxc","Square row 465, token XSHQZDOB32OQODB4SVTRD6EY, code 705108203000, name 'Howling Commandos (6 sticks)'; manufacturer model P2030 and exact retail presentation reviewed against the official page and authentic package photograph. No name-only or store-SKU-only approval.","docs/catalog/enrichment-2026-09/references/howling-commandos-original.png","77f70bd8977a50b840f453e8a379a9e2b80ddf9af70a58c079e46bdd44804cb3","https://static.wixstatic.com/media/ecdf0c_6cd706b4bf414c42b3c863f95ac955f2~mv2.png/v1/fit/w_500,h_500,q_90/file.png","Official photograph inspected at original resolution/contact sheet. Correct name, brand, retail count and package; real alpha. Only resizing and encoding, no generated packaging.","https://www.youtube.com/watch?v=MiXprVX1qxc","Reviewed exact product/model and presentation against the approved source page, indexed demo information and YouTube oEmbed metadata. Not a general search link or different package. Full playback of every video was not performed.","2026-09-24-official-1"
"jawbreaker","Jawbreaker","Raccoon","Cakes","200 gram · 25 shots","RA22009","491","2I2ITQB4TQZX3IXYE3UZJNMR","Jawbreaker 25 Shots","757201220095","https://www.raccoonfireworksusa.com/product-page/jawbreaker","Square row 491, token 2I2ITQB4TQZX3IXYE3UZJNMR, code 757201220095, name 'Jawbreaker 25 Shots'; manufacturer model RA22009 and exact retail presentation reviewed against the official page and authentic package photograph. No name-only or store-SKU-only approval.","docs/catalog/enrichment-2026-09/references/jawbreaker-original.png","53a49fa9bc0feb41c8eeca6bdb1957467798c6bb8c87e34e69b77f27476efd49","https://raccoonfireworksusa.com/wp-content/uploads/2026/08/RA22009.png","Official photograph inspected at original resolution/contact sheet. Correct name, brand, retail count and package; real alpha. Only resizing and encoding, no generated packaging.","https://www.youtube.com/watch?v=Vm9Ug3rc84A","{'status': 'verified', 'source': 'https://www.raccoonfireworksusa.com/product-page/jawbreaker', 'title': 'Jawbreaker RA22009 by Raccoon Fireworks', 'channel': 'Raccoon Fireworks', 'evidence': 'Exact model and product name in the official Raccoon channel title; demonstration embedded by the manufacturer. Retail presentation verified separately.'}","2026-09-24-official-1"
"king-dragon-24-pack","King Dragon","Raccoon","Artillery Shells","6-inch shells · 24 pack","RA62401A/B/C/D","525","PWYZQFTHJFKS7DQI5MFQSDSU","King Dragon 6"" Artillery Shells 24 pack","757201624015","https://www.raccoonfireworksusa.com/product-page/6-king-dragon | https://americanwholesalefireworks.com/king-dragon/","Square row 525, token PWYZQFTHJFKS7DQI5MFQSDSU, code 757201624015, name 'King Dragon 6"" Artillery Shells 24 pack'; manufacturer model RA62401A/B/C/D and exact retail presentation reviewed against the official page and authentic package photograph. No name-only or store-SKU-only approval.","docs/catalog/enrichment-2026-09/references/king-dragon-24-pack-original.png","91db588fb7096ee9fadb9a360e319b52d4bceb995942e4ee18bf062258f29d48","https://raccoonfireworksusa.com/wp-content/uploads/2026/08/RA62401ABCD.png","Official photograph inspected at original resolution/contact sheet. Correct name, brand, retail count and package; real alpha. Only resizing and encoding, no generated packaging.","https://www.youtube.com/watch?v=IKgzCr-3u10","{'status': 'verified', 'source': 'https://www.raccoonfireworksusa.com/product-page/6-king-dragon', 'title': '6” King Dragon Canister Shell RA62401 Raccoon Fireworks 2021 New Product', 'channel': 'Raccoon Fireworks', 'evidence': 'Exact model and product name in the official Raccoon channel title; demonstration embedded by the manufacturer. Retail presentation verified separately.'}","2026-09-24-official-1"
"lucky-streak","Lucky Streak","Bright Star","Cakes","66 shots","BS6020","550","DM4RMWLVBBUGLXYFTBGIJX3N","Lucky Streak","705108602063","https://www.getwinda.com/product-page/lucky-streak | https://www.youtube.com/watch?v=Yf7BARQKKck","Square row 550, token DM4RMWLVBBUGLXYFTBGIJX3N, code 705108602063, name 'Lucky Streak'; manufacturer model BS6020 and exact retail presentation reviewed against the official page and authentic package photograph. No name-only or store-SKU-only approval.","docs/catalog/enrichment-2026-09/references/lucky-streak-original.png","10ef23c5ed389d1e75a6cc49de42cea62fd57f9c309e19d2011292ee616cd42a","https://static.wixstatic.com/media/ecdf0c_11b2b1a4e8584d6f89aa3ca03cb8b150~mv2.png/v1/fit/w_500,h_500,q_90/file.png","Official photograph inspected at original resolution/contact sheet. Correct name, brand, retail count and package; real alpha. Only resizing and encoding, no generated packaging.","https://www.youtube.com/watch?v=Yf7BARQKKck","Reviewed exact product/model and presentation against the approved source page, indexed demo information and YouTube oEmbed metadata. Not a general search link or different package. Full playback of every video was not performed.","2026-09-24-official-1"
