"square_token","square_sku","gtin","original_name","normalized_name","brand","square_category","original_variation","presentation","specifications_in_original_name","pending_group","reason","dynamite_candidates","missing_information_or_resources","csv_row","csv_line_start","csv_line_end","xlsx_sheet","xlsx_row","research_status","product_id","verified_brand","manufacturer_code","verified_video","research_query","research_sources","research_reason","required_next_step"
"TBCIHOLYIDHKDKTJC663NQNF","064883100851","","#8 Texas Giant Cone","#8 Texas Giant Cone","Unknown","CONES","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","26","26","26","Items","27","no_verified_identity","","Unknown","Unknown","","""064883100851"" fireworks","","No verified product identity from the searched code/name. Generic names and store SKUs are insufficient to assign a photo.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"3WJMCMYZKMPO5XDMP5N3BO3H","8145270261118","","1"" Mini Artillery Balls (CE 12 pcs) (Orange Box)","1"" Mini Artillery Balls (CE 12 pcs) (Orange Box)","Unknown","Artillery/Festival Balls","Regular","Unknown","1"" | 12 pcs","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","27","27","27","Items","28","no_verified_identity","","Unknown","Unknown","","""8145270261118"" fireworks","","No verified product identity from the searched code/name. Generic names and store SKUs are insufficient to assign a photo.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"WX7GBZIXZKXMZNUV7AGQX36N","8145270161111","","1"" Mini Artillery Shells 12 pcs","1"" Mini Artillery Shells 12 pcs","Unknown","Unknown","Regular","Unknown","1"" | 12 pcs","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","28","28","28","Items","29","candidate_requires_package_review","","Unknown","Unknown","","""8145270161111"" fireworks","https://thefireworkssuperstore.com/shop/1in-mini-artillery-shells-12-pack","Code found in public source; package/brand/image and any conflicts still need individual verification.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"HY6JRS42XJTAXSJTLKOJFUQE","8145270121917","","10 Ball Assortment Pack","10 Ball Assortment Pack","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","29","29","29","Items","30","no_verified_identity","","Unknown","Unknown","","""8145270121917"" fireworks","","No verified product identity from the searched code/name. Generic names and store SKUs are insufficient to assign a photo.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"HNBYE6I6SH7A4UHRXRRAFJUH","680149054579","","10 Min White Smoke","10 Min White Smoke","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","30","30","30","Items","31","no_verified_identity","","Unknown","Unknown","","""680149054579"" fireworks","","No verified product identity from the searched code/name. Generic names and store SKUs are insufficient to assign a photo.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"YIPN5KCTMVDGIH33DXXZID6U","887946003155","","100 Shot Barrage","100 Shot Barrage","Unknown","Unknown","Regular","Unknown","100 Shot","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","31","31","31","Items","32","no_verified_identity","","Unknown","Unknown","","""887946003155"" fireworks","","No verified product identity from the searched code/name. Generic names and store SKUs are insufficient to assign a photo.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"DJGW2P764RZFK2JCOQD7IJSZ","693965000354","","100 Shot Magical Barrage","100 Shot Magical Barrage","Unknown","Unknown","Regular","Unknown","100 Shot","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","32","32","33","Items","33","no_verified_identity","","Unknown","Unknown","","""693965000354"" fireworks","","No verified product identity from the searched code/name. Generic names and store SKUs are insufficient to assign a photo.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"N52HRIF24SHJ6W5XI2UTRROS","8052530130919","","100 Shot Magical Shot Barrage","100 Shot Magical Shot Barrage","Unknown","Unknown","Regular","Unknown","100 Shot","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","33","34","34","Items","34","candidate_requires_package_review","","Unknown","Unknown","","""8052530130919"" fireworks","https://usa-fireworks.com/products/aerial-all-cakes/aerial-200-gram-cakes/100-shot-magical-barrage-2/ | https://beta2024.usa-fireworks.com/products/aerial-all-cakes/aerial-200-gram-cakes/product-163480-variation-2/","Code found in public source; package/brand/image and any conflicts still need individual verification.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"VOJNDZJPMSFCCTEVC3SUOTZC","725272730799","","100 Shot Magical Shot Barrage","100 Shot Magical Shot Barrage","Unknown","Unknown","100 Shot Barrage Old","100 Shot Barrage Old","100 Shot","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","34","35","35","Items","35","no_verified_identity","","Unknown","Unknown","","""725272730799"" fireworks","","No verified product identity from the searched code/name. Generic names and store SKUs are insufficient to assign a photo.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"UFZR2ZDV7SEVEGE4QLRUZXKU","805253353718","","100 Shot Missle","100 Shot Missle","Unknown","Unknown","Regular","Unknown","100 Shot","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","35","36","36","Items","36","no_verified_identity","","Unknown","Unknown","","""805253353718"" fireworks","","No verified product identity from the searched code/name. Generic names and store SKUs are insufficient to assign a photo.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"I2K2S2XEXLGV6H2IBNPKGHL2","700000014280","","100 Shot Saturn Missle","100 Shot Saturn Missle","Unknown","Unknown","Regular","Unknown","100 Shot","probable","Name identifies a candidate only; manufacturer and exact presentation have not been established.","products.json[46] Saturn Missile Battery 100's / Monkey Mania / /products/saturn-missile-battery-100.png","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","36","37","37","Items","37","no_verified_identity","","Unknown","Unknown","","""700000014280"" fireworks","","No verified product identity from the searched code/name. Generic names and store SKUs are insufficient to assign a photo.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"CVQPQGAEURDRAKP55EZVIL6Z","900003471343","","1000 Roll Fire car","1000 Roll Fire car","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","37","38","38","Items","38","no_verified_identity","","Unknown","Unknown","","""900003471343"" fireworks","","No verified product identity from the searched code/name. Generic names and store SKUs are insufficient to assign a photo.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"3SUE26Q6F6HMGVWFT4GG4SSM","715244964017","","1000 gram display","1000 gram display","Unknown","Unknown","Regular","Unknown","1000 gram","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","38","39","39","Items","39","candidate_requires_package_review","","Unknown","Unknown","","Compared code against official Winco UPC reference","https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf","Code found in public source; package/brand/image and any conflicts still need individual verification.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"GKWFBV6MPTRMRUG3PHSI67NB","715244010714","","10000 Bkk Cat FireCrk","10000 Bkk Cat FireCrk","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","39","40","40","Items","40","candidate_requires_package_review","","Unknown","Unknown","","""715244010714"" fireworks","https://bettendorf.crossroadsfireworks.com/fireworks/black-cat-firecrackers-10000-roll/ | https://waterloo.crossroadsfireworks.com/fireworks/black-cat-firecrackers-10000-roll/","Code found in public source; package/brand/image and any conflicts still need individual verification.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"T5SHAX3H2SLYWZ3VFB2WBPEK","8052530052518","","12 Firecrackers Bogo","12 Firecrackers","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","40","41","41","Items","41","no_verified_identity","","Unknown","Unknown","","""8052530052518"" fireworks","","No verified product identity from the searched code/name. Generic names and store SKUs are insufficient to assign a photo.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"ETMPUX6C7EPHRP4US5GCM5JQ","185108243105","","12 Inch Missile","12 Inch Missile","Unknown","Unknown","Regular","Unknown","12 Inch","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","41","42","42","Items","42","no_verified_identity","","Unknown","Unknown","","""185108243105"" fireworks","","No verified product identity from the searched code/name. Generic names and store SKUs are insufficient to assign a photo.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"YVHIF5R4TWUQ4TVDXZZYOO4R","816597923741","","12 Inch Missile","12 Inch Missile","Unknown","Unknown","Regular","Unknown","12 Inch","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","42","43","43","Items","43","candidate_requires_package_review","","Unknown","Unknown","","""816597923741"" fireworks","https://simpsonfireworks.com/ME100-Sky-Bacon-Missile-R-PC/","Code found in public source; package/brand/image and any conflicts still need individual verification.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"2XKEDNBW4SB5HAFPD74TWCQU","100000566015","","12 Pc Big Huge Burst","12 Pc Big Huge Burst","Unknown","Unknown","Regular","Unknown","12 Pc","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","43","44","44","Items","44","no_verified_identity","","Unknown","Unknown","","""100000566015"" fireworks","","No verified product identity from the searched code/name. Generic names and store SKUs are insufficient to assign a photo.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"6W2PMFHVVSUEMCAZEM7CC6FO","680149047670","","12 Pk Neon Smoke Balls","12 Pk Neon Smoke Balls","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","44","45","45","Items","45","no_verified_identity","","Unknown","Unknown","","""680149047670"" fireworks","","No verified product identity from the searched code/name. Generic names and store SKUs are insufficient to assign a photo.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"6FFX6S2ZDLIQKFSCCQF57TK7","813559007389","","12 pk magical shots","12 pk magical shots","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","45","46","46","Items","46","no_verified_identity","","Unknown","Unknown","","""813559007389"" fireworks","","No verified product identity from the searched code/name. Generic names and store SKUs are insufficient to assign a photo.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"KBT3SVWZVERXSJWAFP5AQ6OG","705834210266","","12"" XXI Missile","12"" XXI Missile","Unknown","Unknown","Regular","Unknown","12""","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","46","47","47","Items","47","no_verified_identity","","Unknown","Unknown","","""705834210266"" fireworks","","No verified product identity from the searched code/name. Generic names and store SKUs are insufficient to assign a photo.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"KE6KVYP7DAHPX7TFVFIKUJL7","100000103012","","12"" XXI Missile","12"" XXI Missile","Unknown","Unknown","12 Missile","12 Missile","12""","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","47","48","48","Items","48","no_verified_identity","","Unknown","Unknown","","""100000103012"" fireworks","","No verified product identity from the searched code/name. Generic names and store SKUs are insufficient to assign a photo.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"D3QREITLNP6XJ5AOMNWFP3Y7","821600005031","","12"" XXI Missile","12"" XXI Missile","Unknown","Unknown","12"" Star Shooter","12"" Star Shooter","12""","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","48","49","49","Items","49","no_verified_identity","","Unknown","Unknown","","""821600005031"" fireworks","","No verified product identity from the searched code/name. Generic names and store SKUs are insufficient to assign a photo.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
"45N4PAZ53P7YTNQENWTOP3XJ","652009905109","","120 Shot Camp Pk","120 Shot Camp Pk","Unknown","Unknown","Regular","Unknown","120 Shot","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","49","50","50","Items","50","candidate_requires_package_review","","Unknown","Unknown","","Compared code against official Winco UPC reference","https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf","Code found in public source; package/brand/image and any conflicts still need individual verification.","Verify manufacturer/model and exact retail package; inspect and acquire its authentic photo. Video is optional."
