"square_token","square_sku","gtin","original_name","normalized_name","brand","square_category","original_variation","presentation","specifications_in_original_name","pending_group","reason","dynamite_candidates","missing_information_or_resources","csv_row","csv_line_start","csv_line_end","xlsx_sheet","xlsx_row"
"JYBDBSLRM7MBJD7YNRW5Z5LJ","821600011094","","#4 Cone","#4 Cone","Unknown","CONES","#4 Cone (Suns)","#4 Cone (Suns)","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","14","14","14","Items","15"
"2ZRYMSNE7SUXC3BUQPGZSS6L","715244002894","","#4 Cone","#4 Cone","Unknown","CONES","#4 Turbo Flash (Black Cat)","#4 Turbo Flash (Black Cat)","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","15","15","15","Items","16"
"XJKWJ2QUGHLISY77XDUXPQP6","064883500156","","#4 Texas Giant Cone","#4 Texas Giant Cone","Unknown","CONES","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","16","16","16","Items","17"
"TRIEBHHYA5DFR35IA2XFLZID","8145270170519","","#6 Rocket","#6 Rocket","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","17","17","17","Items","18"
"F6EIOAIYFBSGWP3PKEN7SVCD","","8145270111215","#8 Cone","#8 Cone","Unknown","CONES","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","18","18","18","Items","19"
"OP4I2X2T6BKOCAUYTPAZ6CLJ","8145270111116","","#8 Cone","#8 Cone","Unknown","CONES","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","19","19","19","Items","20"
"P3MQGK5WIZM5YW7SIK4CC3YZ","8145270111314","","#8 Cone","#8 Cone","Unknown","CONES","#8 Cone Generic #1","#8 Cone Generic #1","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","20","20","20","Items","21"
"UQ2NKDQND4Y44GQ4K36F7HFF","8145270111215","","#8 Cone","#8 Cone","Unknown","CONES","#8 Cone Generic #2","#8 Cone Generic #2","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","21","21","21","Items","22"
"M3SQAVSS5EO5RBMNDWIOKUA2","8145270181119","","#8 Golden Sparkler 6 Pcs-BOGO","#8 Golden Sparkler 6 Pcs","Unknown","Unknown","Regular","Unknown","6 Pcs","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","22","22","22","Items","23"
"OIJ7TSC5JP2IUVH2VMHIEGIM","715244002900","","#8 Pharaoh's Treasure (BC)","#8 Pharaoh's Treasure (BC)","Unknown","CONES","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","23","23","23","Items","24"
"6AOFMZL7Z7QDPXT3DX7Y3D2M","8145270170700","","#8 Rocket","#8 Rocket","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","24","24","24","Items","25"
"OU3CLDPZSKPLLSYKQYLJU6RV","8145270170717","","#8 Rockets","#8 Rockets","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","25","25","25","Items","26"
"TBCIHOLYIDHKDKTJC663NQNF","064883100851","","#8 Texas Giant Cone","#8 Texas Giant Cone","Unknown","CONES","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","26","26","26","Items","27"
"3WJMCMYZKMPO5XDMP5N3BO3H","8145270261118","","1"" Mini Artillery Balls (CE 12 pcs) (Orange Box)","1"" Mini Artillery Balls (CE 12 pcs) (Orange Box)","Unknown","Artillery/Festival Balls","Regular","Unknown","1"" | 12 pcs","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","27","27","27","Items","28"
"WX7GBZIXZKXMZNUV7AGQX36N","8145270161111","","1"" Mini Artillery Shells 12 pcs","1"" Mini Artillery Shells 12 pcs","Unknown","Unknown","Regular","Unknown","1"" | 12 pcs","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","28","28","28","Items","29"
"HY6JRS42XJTAXSJTLKOJFUQE","8145270121917","","10 Ball Assortment Pack","10 Ball Assortment Pack","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","29","29","29","Items","30"
"HNBYE6I6SH7A4UHRXRRAFJUH","680149054579","","10 Min White Smoke","10 Min White Smoke","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","30","30","30","Items","31"
"YIPN5KCTMVDGIH33DXXZID6U","887946003155","","100 Shot Barrage","100 Shot Barrage","Unknown","Unknown","Regular","Unknown","100 Shot","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","31","31","31","Items","32"
"DJGW2P764RZFK2JCOQD7IJSZ","693965000354","","100 Shot Magical Barrage","100 Shot Magical Barrage","Unknown","Unknown","Regular","Unknown","100 Shot","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","32","32","33","Items","33"
"N52HRIF24SHJ6W5XI2UTRROS","8052530130919","","100 Shot Magical Shot Barrage","100 Shot Magical Shot Barrage","Unknown","Unknown","Regular","Unknown","100 Shot","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","33","34","34","Items","34"
"VOJNDZJPMSFCCTEVC3SUOTZC","725272730799","","100 Shot Magical Shot Barrage","100 Shot Magical Shot Barrage","Unknown","Unknown","100 Shot Barrage Old","100 Shot Barrage Old","100 Shot","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","34","35","35","Items","35"
"UFZR2ZDV7SEVEGE4QLRUZXKU","805253353718","","100 Shot Missle","100 Shot Missle","Unknown","Unknown","Regular","Unknown","100 Shot","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","35","36","36","Items","36"
"I2K2S2XEXLGV6H2IBNPKGHL2","700000014280","","100 Shot Saturn Missle","100 Shot Saturn Missle","Unknown","Unknown","Regular","Unknown","100 Shot","probable","Name identifies a candidate only; manufacturer and exact presentation have not been established.","products.json[46] Saturn Missile Battery 100's / Monkey Mania / /products/saturn-missile-battery-100.png","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","36","37","37","Items","37"
"CVQPQGAEURDRAKP55EZVIL6Z","900003471343","","1000 Roll Fire car","1000 Roll Fire car","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","37","38","38","Items","38"
"3SUE26Q6F6HMGVWFT4GG4SSM","715244964017","","1000 gram display","1000 gram display","Unknown","Unknown","Regular","Unknown","1000 gram","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","38","39","39","Items","39"
"GKWFBV6MPTRMRUG3PHSI67NB","715244010714","","10000 Bkk Cat FireCrk","10000 Bkk Cat FireCrk","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","39","40","40","Items","40"
"T5SHAX3H2SLYWZ3VFB2WBPEK","8052530052518","","12 Firecrackers Bogo","12 Firecrackers","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","40","41","41","Items","41"
"ETMPUX6C7EPHRP4US5GCM5JQ","185108243105","","12 Inch Missile","12 Inch Missile","Unknown","Unknown","Regular","Unknown","12 Inch","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","41","42","42","Items","42"
"YVHIF5R4TWUQ4TVDXZZYOO4R","816597923741","","12 Inch Missile","12 Inch Missile","Unknown","Unknown","Regular","Unknown","12 Inch","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","42","43","43","Items","43"
"2XKEDNBW4SB5HAFPD74TWCQU","100000566015","","12 Pc Big Huge Burst","12 Pc Big Huge Burst","Unknown","Unknown","Regular","Unknown","12 Pc","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","43","44","44","Items","44"
"6W2PMFHVVSUEMCAZEM7CC6FO","680149047670","","12 Pk Neon Smoke Balls","12 Pk Neon Smoke Balls","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","44","45","45","Items","45"
"6FFX6S2ZDLIQKFSCCQF57TK7","813559007389","","12 pk magical shots","12 pk magical shots","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","45","46","46","Items","46"
"KBT3SVWZVERXSJWAFP5AQ6OG","705834210266","","12"" XXI Missile","12"" XXI Missile","Unknown","Unknown","Regular","Unknown","12""","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","46","47","47","Items","47"
"KE6KVYP7DAHPX7TFVFIKUJL7","100000103012","","12"" XXI Missile","12"" XXI Missile","Unknown","Unknown","12 Missile","12 Missile","12""","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","47","48","48","Items","48"
"D3QREITLNP6XJ5AOMNWFP3Y7","821600005031","","12"" XXI Missile","12"" XXI Missile","Unknown","Unknown","12"" Star Shooter","12"" Star Shooter","12""","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","48","49","49","Items","49"
"45N4PAZ53P7YTNQENWTOP3XJ","652009905109","","120 Shot Camp Pk","120 Shot Camp Pk","Unknown","Unknown","Regular","Unknown","120 Shot","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","49","50","50","Items","50"
"QYAXPQDE2TYNMB7YTYR6PER7","813559006061","","12pc No.10 Gold Sparklers","12pc No.10 Gold Sparklers","Unknown","Unknown","Regular","Unknown","12pc","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","50","51","51","Items","51"
"QXPW5W7TIS6F73NQR2KAHZKR","887946060400","","14"" Morning Glorys- Red Box","14"" Morning Glorys- Red Box","Unknown","Unknown","Regular","Unknown","14""","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","51","52","52","Items","52"
"6N3R23DAT7C5HMLM4GSIPQUL","8145270101612","","16000 Firecracker","16000 Firecracker","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","52","53","53","Items","53"
"TAOG6BC2S6VLWKSKNKOUQG2N","821600001149","","16000 Thunder Bomb Crackert","16000 Thunder Bomb Crackert","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","53","54","54","Items","54"
"SU6AOYSN2DG4RQ4GOPTHS2CW","821600014309","","198 Shot Saturn Missle","198 Shot Saturn Missle","Unknown","Unknown","Regular","Unknown","198 Shot","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","54","55","55","Items","55"
"EVMEMWULGO5FFPZTIZK4RDJJ","887946031059","","2 Color Space Ship 3 Pack","2 Color Space Ship 3 Pack","Unknown","Unknown","Regular","Unknown","3 Pack","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","55","56","56","Items","56"
"IWBOGXXV5RRGXSNCIMCONMYJ","8052530220917","","2 Color Spaceship","2 Color Spaceship","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","56","57","57","Items","57"
"O6KNWSDF2BMIHQ37TUXZZLJJ","","","2 Color Spaceship BOGO","2 Color Spaceship","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","57","58","58","Items","58"
"T3AVLYCRGWAKT6BREUWYYAAL","887946004213","","2 Min Extravaganza","2 Min Extravaganza","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","58","59","59","Items","59"
"K5DWDAJDWJNG6DTWEO5DGLHG","757205302599","","2 Minute Bomb","2 Minute Bomb","Unknown","Unknown","Regular","Unknown","2 Minute","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","59","60","60","Items","60"
"GXTEUEIENPDZQX225VYUZXIE","","010901322156","2 Minute Finale 500 Gram","2 Minute Finale 500 Gram","Unknown","500 GRAM FINALE","Regular","Unknown","2 Minute | 500 Gram","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","60","61","61","Items","61"
"2FCJSUCY2M7JKMLZIKJUWXLJ","050050513210","","2 Minute Finale 500 Gram","2 Minute Finale 500 Gram","Unknown","500 GRAM FINALE","Regular","Unknown","2 Minute | 500 Gram","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","61","62","62","Items","62"
"NPIALSN4V63R3R64QQOCWAML","","757205302599","2 minute bomb","2 minute bomb","Unknown","Unknown","Regular","Unknown","2 minute","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","62","63","63","Items","63"
"WCBZ5V4BLD2KB7C52VNMEQE2","757201530675","","20 Alarm Fire","20 Alarm Fire","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","63","64","64","Items","64"
"GS5Y7ZP4PE7LE5FGYNR5O2YI","705669335523","","20 Clip On Lighters","20 Clip On Lighters","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","64","65","65","Items","65"
"PHBTZYIQ3GDXQH5VRHBKTPWF","715244120000","","2000 Blk Cat Fire Crk Roll","2000 Blk Cat Fire Crk Roll","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","65","66","66","Items","66"
"KLGDXTOQZJLOLLWXZYP77NBO","8052530057117","","2000 Special Firecrackers","2000 Special Firecrackers","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","66","67","67","Items","67"
"55OSMECG4FX4FDJNAIZNJLGL","821600001118","","2000 Thunder Bomb Cracker","2000 Thunder Bomb Cracker","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","67","68","68","Items","68"
"Y3IFH74XUWEC2U3KZXSXVPQ2","821600000098","","24 Pack Roman Candles","24 Pack Roman Candles","Unknown","Unknown","Regular","Unknown","24 Pack","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","68","69","69","Items","69"
"QEODFH2T6BC2CTTMDFAN3ILS","805253354814","","25 Shot Sasturn Missiles","25 Shot Sasturn Missiles","Unknown","Unknown","Regular","Unknown","25 Shot","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","69","70","70","Items","70"
"C6GOME5OVCZJNCJAW7LZPB3A","612005006798","","25 Shot Saturn Missile","25 Shot Saturn Missile","Unknown","Unknown","Regular","Unknown","25 Shot","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","70","71","71","Items","71"
"W6SWRAF35UJN34Q2XJAD7F7V","688397661891","","25 shot cake assortment","25 shot cake assortment","Unknown","Unknown","Regular","Unknown","25 shot","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","71","72","72","Items","72"
"4HWFFPKQHZTJ2Q7APAMG44QB","705108561407","","250 Paratroopers","250 Paratroopers","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","72","73","73","Items","73"
"KDP4F2VSPPZOAWWNZM2FQ3EY","825272730758","","3 Artillery Box Deal","3 Artillery Box Deal","Unknown","Unknown","Festival Balla","Festival Balla","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","73","74","74","Items","74"
"P3CCHOLOIHGZVDYAXTMIOVS2","821600018185","","3 Minute Fireworks Barrage","3 Minute Fireworks Barrage","Unknown","Unknown","Regular","Unknown","3 Minute","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","74","75","75","Items","75"
"MH57SPBVIQPICVM4BHIMB5O2","757202118087","","3 Minute Fountain","3 Minute Fountain","Unknown","Fountains","Regular","Unknown","3 Minute","probable","Name identifies a candidate only; manufacturer and exact presentation have not been established.","products.json[45] 3 MIN / Monkey Mania / /products/3-min.png | products.json[145] 3 Minute Fountain / Black Cat / /products/3-minute-fountain.png","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","75","76","76","Items","76"
"O4WED6SQAOYEZX67SYZ7HGIO","700000014327","","300 Saturn Missile","300 Saturn Missile","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","76","77","77","Items","77"
"3P62TB7PDFUGMV5XKWM4SPVM","849107066089","","36 "" Gold Sparklers","36 "" Gold Sparklers","Unknown","Unknown","Regular","Unknown","36 ""","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","77","78","78","Items","78"
"IV3BJZUIFVT2PF6ZZBU334X3","821600003136","","36 Inch Wedding Sparklers","36 Inch Wedding Sparklers","Unknown","Unknown","Regular","Unknown","36 Inch","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","78","79","79","Items","79"
"3BDVG5QR2QCQYDOZXHCWB2KF","705108900510","","36"" Gold Sparklers","36"" Gold Sparklers","Unknown","Unknown","Regular","Unknown","36""","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","79","80","80","Items","80"
"KIIXD2PHKQRWSEL2DVRTHH3R","816597924441","","36"" Morning Glory","36"" Morning Glory","Unknown","Unknown","Regular","Unknown","36""","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","80","81","81","Items","81"
"26PMZRVOBXZHMDNDBZNLSSG4","705108900336","","36"" Morning Glorys","36"" Morning Glorys","Unknown","Unknown","Regular","Unknown","36""","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","81","82","82","Items","82"
"FSLILKVUEZUCBWTLHGZ7G3DC","813559000403","","36' Gold Sparklers","36' Gold Sparklers","Unknown","Unknown","Regular","Unknown","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","82","83","83","Items","83"
"FVAI2736O6VVNLFZFUR5OMO6","705108900503","","36' Gold Sparklers","36' Gold Sparklers","Unknown","Unknown","36 Inch Gold Sparklers","36 Inch Gold Sparklers","Unknown","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","83","84","84","Items","84"
"6XG66I5GX3TNWFSJGITBLXWB","8145270122723","","4 Assort Effect 10 Ball 12 Pack","4 Assort Effect 10 Ball 12 Pack","Unknown","Unknown","Regular","Unknown","12 Pack","no_match","No sufficiently specific candidate identified in the two Dynamite catalog files.","Unknown","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","84","85","85","Items","85"
"5O66QKT6BJQUWDBZEA64YIJ4","705108309702","","4 Pk Mini Snow Cones","4 Pk Mini Snow Cones","Unknown","Fountains","Regular","Unknown","Unknown","probable","Name identifies a candidate only; manufacturer and exact presentation have not been established.","products.json[114] Snow Cone / Winda / /products/snow-cone.png","Manufacturer or UPC/model, exact package/variant and corresponding photo/video.","85","86","86","Items","86"
