"square_token","original_name","original_variation","match_status","rockwall_product_id","dynamite_candidates","evidence"
"I2K2S2XEXLGV6H2IBNPKGHL2","100 Shot Saturn Missle","Regular","probable","","products.json[46] Saturn Missile Battery 100's / Monkey Mania / /products/saturn-missile-battery-100.png","Name identifies a candidate only; manufacturer and exact presentation have not been established."
"CVQPQGAEURDRAKP55EZVIL6Z","1000 Roll Fire car","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"3SUE26Q6F6HMGVWFT4GG4SSM","1000 gram display","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"GKWFBV6MPTRMRUG3PHSI67NB","10000 Bkk Cat FireCrk","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"T5SHAX3H2SLYWZ3VFB2WBPEK","12 Firecrackers Bogo","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"ETMPUX6C7EPHRP4US5GCM5JQ","12 Inch Missile","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"YVHIF5R4TWUQ4TVDXZZYOO4R","12 Inch Missile","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"2XKEDNBW4SB5HAFPD74TWCQU","12 Pc Big Huge Burst","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"6W2PMFHVVSUEMCAZEM7CC6FO","12 Pk Neon Smoke Balls","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"6FFX6S2ZDLIQKFSCCQF57TK7","12 pk magical shots","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"KBT3SVWZVERXSJWAFP5AQ6OG","12"" XXI Missile","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"KE6KVYP7DAHPX7TFVFIKUJL7","12"" XXI Missile","12 Missile","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"D3QREITLNP6XJ5AOMNWFP3Y7","12"" XXI Missile","12"" Star Shooter","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"45N4PAZ53P7YTNQENWTOP3XJ","120 Shot Camp Pk","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"QYAXPQDE2TYNMB7YTYR6PER7","12pc No.10 Gold Sparklers","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"QXPW5W7TIS6F73NQR2KAHZKR","14"" Morning Glorys- Red Box","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"6N3R23DAT7C5HMLM4GSIPQUL","16000 Firecracker","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"TAOG6BC2S6VLWKSKNKOUQG2N","16000 Thunder Bomb Crackert","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"SU6AOYSN2DG4RQ4GOPTHS2CW","198 Shot Saturn Missle","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"EVMEMWULGO5FFPZTIZK4RDJJ","2 Color Space Ship 3 Pack","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"IWBOGXXV5RRGXSNCIMCONMYJ","2 Color Spaceship","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"O6KNWSDF2BMIHQ37TUXZZLJJ","2 Color Spaceship BOGO","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"T3AVLYCRGWAKT6BREUWYYAAL","2 Min Extravaganza","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"K5DWDAJDWJNG6DTWEO5DGLHG","2 Minute Bomb","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"GXTEUEIENPDZQX225VYUZXIE","2 Minute Finale 500 Gram","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"2FCJSUCY2M7JKMLZIKJUWXLJ","2 Minute Finale 500 Gram","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"NPIALSN4V63R3R64QQOCWAML","2 minute bomb","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"WCBZ5V4BLD2KB7C52VNMEQE2","20 Alarm Fire","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"GS5Y7ZP4PE7LE5FGYNR5O2YI","20 Clip On Lighters","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"PHBTZYIQ3GDXQH5VRHBKTPWF","2000 Blk Cat Fire Crk Roll","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"KLGDXTOQZJLOLLWXZYP77NBO","2000 Special Firecrackers","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"55OSMECG4FX4FDJNAIZNJLGL","2000 Thunder Bomb Cracker","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"Y3IFH74XUWEC2U3KZXSXVPQ2","24 Pack Roman Candles","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"QEODFH2T6BC2CTTMDFAN3ILS","25 Shot Sasturn Missiles","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"C6GOME5OVCZJNCJAW7LZPB3A","25 Shot Saturn Missile","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"W6SWRAF35UJN34Q2XJAD7F7V","25 shot cake assortment","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"4HWFFPKQHZTJ2Q7APAMG44QB","250 Paratroopers","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"KDP4F2VSPPZOAWWNZM2FQ3EY","3 Artillery Box Deal","Festival Balla","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"P3CCHOLOIHGZVDYAXTMIOVS2","3 Minute Fireworks Barrage","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"MH57SPBVIQPICVM4BHIMB5O2","3 Minute Fountain","Regular","probable","","products.json[45] 3 MIN / Monkey Mania / /products/3-min.png | products.json[145] 3 Minute Fountain / Black Cat / /products/3-minute-fountain.png","Name identifies a candidate only; manufacturer and exact presentation have not been established."
"O4WED6SQAOYEZX67SYZ7HGIO","300 Saturn Missile","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"3P62TB7PDFUGMV5XKWM4SPVM","36 "" Gold Sparklers","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"IV3BJZUIFVT2PF6ZZBU334X3","36 Inch Wedding Sparklers","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"3BDVG5QR2QCQYDOZXHCWB2KF","36"" Gold Sparklers","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"KIIXD2PHKQRWSEL2DVRTHH3R","36"" Morning Glory","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"26PMZRVOBXZHMDNDBZNLSSG4","36"" Morning Glorys","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"FSLILKVUEZUCBWTLHGZ7G3DC","36' Gold Sparklers","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"FVAI2736O6VVNLFZFUR5OMO6","36' Gold Sparklers","36 Inch Gold Sparklers","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"6XG66I5GX3TNWFSJGITBLXWB","4 Assort Effect 10 Ball 12 Pack","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"5O66QKT6BJQUWDBZEA64YIJ4","4 Pk Mini Snow Cones","Regular","probable","","products.json[114] Snow Cone / Winda / /products/snow-cone.png","Name identifies a candidate only; manufacturer and exact presentation have not been established."
"UJB7SIMZIOZNZYMFLLYRB6ZH","40"" Mammoth Day Parachute","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"6PNXNZLUJTEFB4LXCTIWWKE5","4pc Assortments 9"" Fountain","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"GYJNBMUQGW2TG3B67MHZX6RI","4pk Parachute","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"H5K3WTYZMTO4M7553I3M5UYE","4th Of July Backpack","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"A5YBHLDEGL7OUC573GBEWPRD","4th of July Pack","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"QGRX3L4LF562QHPZHUWFHRV5","4x 3157/3156 High Power 7W Turn Signal Tail Brake Stop Car LED Bulbs (Amber/Yellow)","Regular","conflict","","Unknown","Item name describes automotive LED bulbs but Square category says Roman Candles; identity is corrupt, do not publish."
"4TA643RIR37SKN2TGQC4TVAG","4x 3157/3156 High Power 7W Turn Signal Tail Brake Stop Car LED Bulbs (Amber/Yellow)","12/10 ball roman candle","conflict","","Unknown","Automotive LED-bulb item name conflicts with roman-candle variation and category; identity requires correction."
"6LV6YJMXWXIGBPXYPBYYMKIK","5 Inch Megabanger Professional Shells","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"A6IN5BBRQ524DUHM5XIK22KD","6 3"" Parachutes","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"ARNCHSF72M2PGKYULV37DMUW","6 pc Artillery Shells Assorted","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"ZX3TJ5FTJU4TSBNYYZ25OE5P","6 pc Artillery Shells Assorted","Whistling Buster","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"DEGTDLAZWR5MFPTCN24C5MYW","6 pc Artillery Shells Assorted","Crackling","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"6LYJJH3ROCZPE5B25EYQFT2X","60 Infinity","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"G4RPL673CZVIZPHF3JQIYTAV","6ct Texas Size Rocket","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"WWS64AP47VXXTHHYX3D2E5Z2","6pc 10 ball roman candle","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"IV465BAKK2EAWD5TK3S32FRX","6pc Artillery Shells: Huge Color Bursts","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"67Q5FTM7ANPDPMG4XUHW74DF","7 Disposable Lighters","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"PAYQMSSER3UY2TBKFB63PVI7","7"" Defender Missile","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"XPH7RXILMQOK6PZWGNZX3SL5","750s Saturn Missile Battery","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"CJQNGWS3JU5HZJQ2XSK62B43","750s Saturn Missile Battery","750 Shot","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"XDY67L6KGJ3UDL576VIBRNUO","8 Inch Missle","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"KVJM6GNGZVNLT2VHSMPTYOEQ","8"" color sparklers","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"H5ODOFIVBLH5KHPX3NEZ6ROR","8000 Thunder Bomb Cracker","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"BXB6IDEAWPODTC7JWB3OGSL2","96 Shot Color Pearl","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"PI4EHRNLTIX3BTAGFZUATH7S","A Legacy Of Liberty 250 Years 500g","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"YFAWGJZFEI4UUOC7GCETC7FX","A Million Missles","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"VP5CG67K35FAOWJPZ7IWO4KN","AK-47 FOUNTAIN","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"4CG65TCNMRJDOS6ZNDPNVF2L","AK-47 Fountain","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"DJGH4MOSEAF477EDNI4PRQ4O","Above The Law Family Pack BC","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"A3TTFCDNXBESWGPAC4RVRVLA","Absolute Pyro","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"DVBX6GI2QDAKB3AOFVTXGCXS","Action Zone Family Pack","Regular","confirmed","action-zone","products.json[56] Action Zone / Monkey Mania / /products/action-zone.png","Square family-pack presentation, source Monkey Mania packaging and approved Rockwall image identify the same assortment; existing ID and assets retained."
"GPZVXC3S5TOL4YDFTGF2GZYP","Adult Snaps Bogo","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"YJIFUP2KPQJDBACJJP43G5SD","Aerojet (4 sticks)","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"SRP2KXXSRJ5ZLRYNRYPEYTA3","Aggression","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"4334FNRTII6SMFRXQN7MAUHA","Air Force One Rocket (5 sticks)","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"ASHLE2YBKFSZNM63ILNCUD23","Air Power 5"" Artillery Shells 24 pack","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"M5WL2GWBEX24UFCMOYR2IV5P","Alien Attack 500 Gram","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"WCIPTN2Z22OBJCOSXXECSVFO","Alien Attack 500 Gram","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"V6MU7TUWULGKPYU6OK3YD6HQ","Alien Invasion 6"" Artillery Shells 24 Pack","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"XYXKR3DJY6RHOJASSPK5TYT5","All Star Pack","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"XDBTTK6XNQUZN7Y5OLEMK7P4","Always Remember","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"P4V5UWFOA4QKR7HDTQ2Y7NTA","America Enduring ","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"NNRAJOMOO6QMDDNVRN3MLQ2G","America First","Regular","probable","","products.json[9] America First / Raccoon / /products/america-first.png","Name identifies a candidate only; manufacturer and exact presentation have not been established."
"OV5PX3WTPYLU7UAQX5H6BZWS","America Forever","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"NX53FTYFRKZQY6WLTR2DY3WJ","American Anthem","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"MUGZGXIY22XE4VAAZZ7DVGMW","American Celebration Fountain","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"F4VHERHXUEKP2V34SZ4UB66R","American Freedom Train ","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"EJ67OI6GG3MOJJGKU6K6YPHX","American Pride Fountain","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"LXNCB5NMJNLAI6CU2C6JBNAC","American Spirit Show","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"QF4SJO5A26QPFJ3INJVAWKZB","American Wildcard 200G","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"LDTQWSGU6QA5LY4GLQ53WWQY","Americana 500 Gram","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"CP7RE6RLLTS5YYWJJ5KWFDGD","Americas best snappers","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"XEHFK3MLUWNJO53ONKR3COLJ","Ant Chant","Regular","probable","","products.json[17] Ant Chant / Raccoon / /products/ant-chant.png","Name identifies a candidate only; manufacturer and exact presentation have not been established."
"MYCY5YAXU47YAWMJR6OTMGPJ","Armadillo Fountain","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"P4ESCHPHWPNNEQAO7CBR4SHE","Armed Forces 2.0","Regular","conflict","","products.json[13] Armed forces / Raccoon / /products/armed-forces.png","Armed Forces generation/pack differs or is unspecified; source metadata says Raccoon but photographed branding says World Class. Do not conflate 2.0–6.0 or a three-pack."
"MZZ52RLGSBVYWVGTZBM3WP3A","Armed Forces 3.0","Regular","conflict","","products.json[13] Armed forces / Raccoon / /products/armed-forces.png","Armed Forces generation/pack differs or is unspecified; source metadata says Raccoon but photographed branding says World Class. Do not conflate 2.0–6.0 or a three-pack."
"VW3Z4UDV6D74A3TIQ7L7S2PY","Armed Forces 4.0","Regular","conflict","","products.json[13] Armed forces / Raccoon / /products/armed-forces.png","Armed Forces generation/pack differs or is unspecified; source metadata says Raccoon but photographed branding says World Class. Do not conflate 2.0–6.0 or a three-pack."
"4XFR7CLMTWG34WHO72ZRFLRW","Armed Forces 5.0","Regular","conflict","","products.json[13] Armed forces / Raccoon / /products/armed-forces.png","Armed Forces generation/pack differs or is unspecified; source metadata says Raccoon but photographed branding says World Class. Do not conflate 2.0–6.0 or a three-pack."
"SMSO6AXTYFGVVTIJOT2FOHFG","Armed Forces 500 G","Regular","conflict","","products.json[13] Armed forces / Raccoon / /products/armed-forces.png","Armed Forces generation/pack differs or is unspecified; source metadata says Raccoon but photographed branding says World Class. Do not conflate 2.0–6.0 or a three-pack."
"TLWMARRYOFXJBZJWZIHCNGBA","Armed Forces 6.0","Regular","conflict","","products.json[13] Armed forces / Raccoon / /products/armed-forces.png","Armed Forces generation/pack differs or is unspecified; source metadata says Raccoon but photographed branding says World Class. Do not conflate 2.0–6.0 or a three-pack."
"Y4SXCZVSAVHO2GCBJYKJPQZO","Arms Depot 4"" Artillery Shells 16 pack","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"5XZWDB3GDSY4KFRZGEOLUX2U","Army Issue Grenades","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"T625WGBZWWYVCCKWJQXTUQAZ","Artificial Satellite 12 Ct","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"TTQLPUHZV4KBK3ZBZYTFFCOS","Artificial Satellites Bogo","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"PFM347B2GJEBEXQEMR545CKS","Artillery Shell","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"JKA7CKPRGWO7RXNGENDKELON","Artillery Shells (Boomer 6 pcs) (Black Box)","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"DTIZFT2E72RKGH2NKDOLRBDD","Artillery Shells (MM 6 pcs) (Black Box)","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"KS3WIQC7PRDYQQCOWJTAGXZ5","Assorted Fountain I","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"DNIEAW7XOSEWEYTAS775EKEY","Assorted Fountain II","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"2U44ZS5P6EKYO7OV7MODRTLK","Assorted Fountain III","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"7LUO3VYYP77HCIOYYFIT3BYA","Assorted Fountain IV","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"22UELNC5XMR2TK3DDX6EWAAO","Assorted Smoke 4 Pieces Colo","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"2EMXWPZ26FAUW5BA65KVXUKS","Atlantic Liftoff 4 Pack","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"5FGW7K44ZLKLWCCNLF46GVBU","Atom Bomb","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"WY6IKUMGETEASD73VPPZ7MW4","Atomic Fireball 500 Gram 51 Shot","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"L3RQWHODOW4DTUU5YRLV3EC7","Avalanche 200 G","Regular","confirmed","avalanche","products.json[151] Avalanche / Winda / /products/avalanche.png","Distinctive name and 200-gram classification agree between Square and the Winda package; Warning Avalanche Ahead 500 gram is a different product and excluded from this match."
"WEQRBF4GHTPAJWQGHPHFFC5J","BC 1000 Firecracker Roll RWB BOGO","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"6CSS3ISX42RRXQQ2MENLSZC6","BC 8000 Firecracker","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"FOCSC6IBOIVACCWHZTLBLZQT","BC Little Dynamite RWB BOGO","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"U3PPF3HY5PVYEJ3EA2TQTIWV","BC Missile Base 100 Shot","Regular","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
