"square_token","square_sku","gtin","original_name","normalized_name","normalization_note","brand","square_category","catalog_category","original_variation","presentation","specifications_in_original_name","reference_handle","csv_file","csv_row","csv_line_start","csv_line_end","xlsx_file","xlsx_sheet","xlsx_row","same_name_rows","duplicate_sku_rows","match_status","rockwall_product_id","dynamite_candidates","evidence"
"HNBYE6I6SH7A4UHRXRRAFJUH","680149054579","","10 Min White Smoke","10 Min White Smoke","Whitespace cleaned; uncertain abbreviations retained","Unknown","Unknown","Unknown","Regular","Unknown","Unknown","#10-min-white-smoke-regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","30","30","30","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","31","1","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"YIPN5KCTMVDGIH33DXXZID6U","887946003155","","100 Shot Barrage","100 Shot Barrage","Whitespace cleaned; uncertain abbreviations retained","Unknown","Unknown","Unknown","Regular","Unknown","100 Shot","#100-shot-barrage-regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","31","31","31","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","32","1","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"DJGW2P764RZFK2JCOQD7IJSZ","693965000354","","100 Shot Magical Barrage","100 Shot Magical Barrage","Whitespace cleaned; uncertain abbreviations retained","Unknown","Unknown","Unknown","Regular","Unknown","100 Shot","#100-shot-magical-barrage-regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","32","32","33","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","33","1","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"N52HRIF24SHJ6W5XI2UTRROS","8052530130919","","100 Shot Magical Shot Barrage","100 Shot Magical Shot Barrage","Whitespace cleaned; uncertain abbreviations retained","Unknown","Unknown","Unknown","Regular","Unknown","100 Shot","#100-shot-magical-shot-barrage-regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","33","34","34","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","34","2","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"VOJNDZJPMSFCCTEVC3SUOTZC","725272730799","","100 Shot Magical Shot Barrage","100 Shot Magical Shot Barrage","Whitespace cleaned; uncertain abbreviations retained","Unknown","Unknown","Unknown","100 Shot Barrage Old","100 Shot Barrage Old","100 Shot","#100-shot-magical-shot-barrage-100-shot-barrage-old","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","34","35","35","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","35","2","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"UFZR2ZDV7SEVEGE4QLRUZXKU","805253353718","","100 Shot Missle","100 Shot Missle","Whitespace cleaned; uncertain abbreviations retained","Unknown","Unknown","Unknown","Regular","Unknown","100 Shot","#100-shot-missle-regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","35","36","36","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","36","1","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"I2K2S2XEXLGV6H2IBNPKGHL2","700000014280","","100 Shot Saturn Missle","100 Shot Saturn Missle","Whitespace cleaned; uncertain abbreviations retained","Unknown","Unknown","Unknown","Regular","Unknown","100 Shot","#100-shot-saturn-missle-regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","36","37","37","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","37","1","2","probable","","products.json[46] Saturn Missile Battery 100's / Monkey Mania / /products/saturn-missile-battery-100.png","Name identifies a candidate only; manufacturer and exact presentation have not been established."
"CVQPQGAEURDRAKP55EZVIL6Z","900003471343","","1000 Roll Fire car","1000 Roll Fire car","Whitespace cleaned; uncertain abbreviations retained","Unknown","Unknown","Unknown","Regular","Unknown","Unknown","#1000-roll-fire-car-regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","37","38","38","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","38","1","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"3SUE26Q6F6HMGVWFT4GG4SSM","715244964017","","1000 gram display","1000 gram display","Whitespace cleaned; uncertain abbreviations retained","Unknown","Unknown","Unknown","Regular","Unknown","1000 gram","#1000-gram-display-regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","38","39","39","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","39","1","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"GKWFBV6MPTRMRUG3PHSI67NB","715244010714","","10000 Bkk Cat FireCrk","10000 Bkk Cat FireCrk","Whitespace cleaned; uncertain abbreviations retained","Unknown","Unknown","Unknown","Regular","Unknown","Unknown","#10000-bkk-cat-firecrk-regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","39","40","40","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","40","1","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"T5SHAX3H2SLYWZ3VFB2WBPEK","8052530052518","","12 Firecrackers Bogo","12 Firecrackers","Whitespace cleaned; historical BOGO marker removed from display name only","Unknown","Unknown","Unknown","Regular","Unknown","Unknown","#12-firecrackers-bogo-regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","40","41","41","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","41","1","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"ETMPUX6C7EPHRP4US5GCM5JQ","185108243105","","12 Inch Missile","12 Inch Missile","Whitespace cleaned; uncertain abbreviations retained","Unknown","Unknown","Unknown","Regular","Unknown","12 Inch","#12-inch-missile-regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","41","42","42","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","42","2","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"YVHIF5R4TWUQ4TVDXZZYOO4R","816597923741","","12 Inch Missile","12 Inch Missile","Whitespace cleaned; uncertain abbreviations retained","Unknown","Unknown","Unknown","Regular","Unknown","12 Inch","#12-inch-missile-1-regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","42","43","43","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","43","2","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"2XKEDNBW4SB5HAFPD74TWCQU","100000566015","","12 Pc Big Huge Burst","12 Pc Big Huge Burst","Whitespace cleaned; uncertain abbreviations retained","Unknown","Unknown","Unknown","Regular","Unknown","12 Pc","#12-pc-big-huge-burst-regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","43","44","44","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","44","1","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"6W2PMFHVVSUEMCAZEM7CC6FO","680149047670","","12 Pk Neon Smoke Balls","12 Pk Neon Smoke Balls","Whitespace cleaned; uncertain abbreviations retained","Unknown","Unknown","Unknown","Regular","Unknown","Unknown","#12-pk-neon-smoke-balls-regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","44","45","45","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","45","1","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"6FFX6S2ZDLIQKFSCCQF57TK7","813559007389","","12 pk magical shots","12 pk magical shots","Whitespace cleaned; uncertain abbreviations retained","Unknown","Unknown","Unknown","Regular","Unknown","Unknown","#12-pk-magical-shots-regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","45","46","46","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","46","1","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"KBT3SVWZVERXSJWAFP5AQ6OG","705834210266","","12"" XXI Missile","12"" XXI Missile","Whitespace cleaned; uncertain abbreviations retained","Unknown","Unknown","Unknown","Regular","Unknown","12""","#12-xxi-missile-regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","46","47","47","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","47","3","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"KE6KVYP7DAHPX7TFVFIKUJL7","100000103012","","12"" XXI Missile","12"" XXI Missile","Whitespace cleaned; uncertain abbreviations retained","Unknown","Unknown","Unknown","12 Missile","12 Missile","12""","#12-xxi-missile-12-missile","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","47","48","48","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","48","3","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"D3QREITLNP6XJ5AOMNWFP3Y7","821600005031","","12"" XXI Missile","12"" XXI Missile","Whitespace cleaned; uncertain abbreviations retained","Unknown","Unknown","Unknown","12"" Star Shooter","12"" Star Shooter","12""","#12-xxi-missile-12-star-shooter","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","48","49","49","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","49","3","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"45N4PAZ53P7YTNQENWTOP3XJ","652009905109","","120 Shot Camp Pk","120 Shot Camp Pk","Whitespace cleaned; uncertain abbreviations retained","Unknown","Unknown","Unknown","Regular","Unknown","120 Shot","#120-shot-camp-pk-regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","49","50","50","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","50","1","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
"QYAXPQDE2TYNMB7YTYR6PER7","813559006061","","12pc No.10 Gold Sparklers","12pc No.10 Gold Sparklers","Whitespace cleaned; uncertain abbreviations retained","Unknown","Unknown","Unknown","Regular","Unknown","12pc","#12pc-no-10-gold-sparklers-regular","/Volumes/FACUNDO/Rockwall fireworks/MLTX6DPJDFYX7_catalog-2026-08-16-1724.csv","50","51","51","/Volumes/FACUNDO/Rockwall fireworks/rockwall fireworks items.xlsx","Items","51","1","1","no_match","","Unknown","No sufficiently specific candidate identified in the two Dynamite catalog files."
